level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
10,11,6.0,0.0,28.0,15,24.255000000000003,17.068,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.54'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.9'}]","[91, 117, 30, 36, 37, 215, 218]",True,373946.0,25.095,41.004,,,,,,,,,,,0.4666666666666667,,,,2.0,2.0,2.0,4.0,0.01001304,0.01016549,0.00015244999999999842,Chelsea,Man City,29.0,Wesley Fofana,DC,True,2.289820609928242,0.0,87.99011064122584,W. Fofana,2.0,Chelsea
11,12,7.0,0.0,32.0,15,24.044999999999998,41.82,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.30'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.2'}]","[91, 117, 30, 36, 37, 215, 218]",True,421351.0,28.56,58.14000000000001,,,,,,,,,,,0.5333333333333333,,,,2.0,4.0,3.0,6.0,0.01016549,0.0105949,0.0004294100000000016,Chelsea,Man City,6.0,Levi Colwill,DC,True,1.170646655076851,0.0,74.53565981703655,L. Colwill,2.0,Chelsea
12,13,8.0,0.0,34.0,15,28.56,58.14000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.75'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 36, 37, 215, 218]",True,363496.0,33.915,63.17200000000001,,,,,,,,,,,0.5666666666666667,,,,3.0,6.0,3.0,7.0,0.0105949,0.00977659,-0.0008183100000000009,Chelsea,Man City,3.0,Marc Cucurella,DL,True,3.323140445791495,0.0,43.21887214875119,M. Cucurella,2.0,Chelsea
13,14,9.0,0.0,36.0,15,33.915,63.17200000000001,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,300945.0,,,,,,,,,,,,,0.6,,,,,,,,,,,Chelsea,Man City,18.0,Christopher Nkunku,AML,True,0.0,0.0,,C. Nkunku,2.0,Chelsea
14,15,8.0,0.0,37.0,167,73.92000000000002,3.6720000000000006,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 53]",True,388098.0,,,,,,,,,,,,,0.6166666666666667,,,,,,,,,,,Man City,Chelsea,11.0,Jeremy Doku,AMR,True,0.0,0.0,,J. Doku,3.0,Man City
15,16,10.0,0.0,37.0,15,31.080000000000002,64.328,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 143]",True,363496.0,,,,,,,,,,,,,0.6166666666666667,,,,,,,,,,,Chelsea,Man City,3.0,Marc Cucurella,DL,True,0.0,0.0,,M. Cucurella,3.0,Man City
16,17,10.0,0.0,41.0,167,70.14,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.96'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.1'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.4'}]","[91, 212, 35, 37, 216]",True,444791.0,65.52,9.792000000000002,,,,,,,,,,,0.6833333333333333,,,,8.0,0.0,7.0,1.0,0.02122129,0.01870347,-0.0025178200000000005,Man City,Chelsea,82.0,Rico Lewis,DMC,True,2.3842895695535873,0.0,115.25858164011912,R. Lewis,3.0,Man City
17,18,11.0,0.0,44.0,167,64.47,8.772,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.49'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,93894.0,44.415,24.208000000000002,,,,,,,,,,,0.7333333333333333,,,,7.0,1.0,5.0,2.0,0.01870347,0.01429128,-0.00441219,Man City,Chelsea,8.0,Mateo Kovacic,DMC,True,-13.630945779051729,0.0,142.41511958521718,M. Kovacic,3.0,Man City
18,19,12.0,0.0,48.0,167,44.625,23.12,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.10'}]","[91, 117, 30, 36, 38, 216, 218]",True,313171.0,49.35,11.491999999999999,,,,,,,,,,,0.8,,,,5.0,2.0,5.0,1.0,0.01429128,0.0138454,-0.0004458799999999992,Man City,Chelsea,3.0,Ruben Dias,DC,True,1.3180632248731854,0.0,-67.8857937597272,R. Dias,3.0,Man City
19,20,13.0,0.0,51.0,167,49.35,11.491999999999999,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.85'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,297390.0,55.650000000000006,18.700000000000003,,,,,,,,,,,0.85,,,,5.0,1.0,6.0,2.0,0.0138454,0.01685596,0.003010559999999999,Man City,Chelsea,25.0,Manuel Akanji,DC,True,8.362105550606358,0.0,48.845604288015224,M. Akanji,3.0,Man City
20,21,13.5,0.0,51.5,167,55.650000000000006,18.700000000000003,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,93894.0,49.875,16.184,,,,,,14.0,,,,,0.8583333333333334,,,,6.0,2.0,5.0,1.0,0.01685596,0.0138454,-0.003010559999999999,Man City,Chelsea,8.0,Mateo Kovacic,DMC,True,0.0,-6.265182716651161,-156.45863975035223,M. Kovacic,3.0,Man City
21,22,14.0,0.0,52.0,167,49.875,16.184,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.69'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.1'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,93894.0,61.005,8.636000000000001,,,,,,,,,,,0.8666666666666667,,,,5.0,1.0,6.0,0.0,0.0138454,0.01473596,0.0008905599999999986,Man City,Chelsea,8.0,Mateo Kovacic,DMC,True,7.149710490388081,0.0,-34.14382983562717,M. Kovacic,3.0,Man City
22,23,14.5,0.0,53.0,167,61.005,8.636000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,444791.0,65.83500000000001,11.152,,,,,,15.0,,,,,0.8833333333333333,,,,7.0,1.0,7.0,1.0,0.01870347,0.01870347,0.0,Man City,Chelsea,82.0,Rico Lewis,DMC,True,0.0,5.440451620824305,27.51550172146271,R. Lewis,3.0,Man City
23,24,15.0,0.0,54.0,167,65.83500000000001,11.152,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.91'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.8'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,444791.0,82.74,4.488,,,,,,,,,,,0.9,,,,7.0,1.0,9.0,0.0,0.01870347,0.02756312,0.00885965,Man City,Chelsea,82.0,Rico Lewis,DMC,True,8.376608436591688,0.0,-21.51450262295756,R. Lewis,3.0,Man City
24,25,16.0,0.0,57.0,167,84.94500000000001,5.1000000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '98.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '24.8'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,388098.0,103.53,16.864,,,,,,,,,,,0.95,,,,9.0,0.0,11.0,1.0,0.02756312,0.04647721,0.018914089999999998,Man City,Chelsea,11.0,Jeremy Doku,AMR,True,17.97794607081712,0.0,32.33313910420153,J. Doku,3.0,Man City
25,26,17.0,1.0,0.0,167,103.53,18.632,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.35'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '100.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 29, 36, 37, 217, 218]",True,444791.0,105.0,28.628000000000004,,,,,,,,,,,1.0,,,,,,,,,,,Man City,Chelsea,82.0,Rico Lewis,DMC,True,10.066145095833246,0.0,81.63411387596742,R. Lewis,3.0,Man City
26,27,13.0,1.0,27.0,15,4.9350000000000005,33.524,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '7.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.38'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.5'}, {'type': {'value': 124, 'displayName': 'GoalKick'}}]","[91, 117, 30, 36, 37, 215, 218]",True,362151.0,7.3500000000000005,45.900000000000006,,,,,,,,,,,1.45,,,,0.0,3.0,0.0,5.0,0.00941056,0.0088799,-0.0005306600000000005,Chelsea,Man City,1.0,Robert Sanchez,GK,True,1.6937147637244436,0.0,78.95829839373127,R. Sanchez,4.0,Chelsea
27,28,13.5,1.0,28.0,15,7.3500000000000005,45.900000000000006,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,421351.0,10.290000000000001,43.044000000000004,,,,,,14.0,,,,,1.4666666666666668,,,,0.0,5.0,0.0,5.0,0.0088799,0.0088799,0.0,Chelsea,Man City,6.0,Levi Colwill,DC,True,0.0,3.231584730994882,-44.169684513742006,L. Colwill,4.0,Chelsea
28,29,14.0,1.0,29.0,15,10.290000000000001,43.044000000000004,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.44'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '50.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 124, 127, 36, 38, 216, 218]",True,421351.0,43.365,5.576,,,,,,,,,,,1.4833333333333334,,,,0.0,5.0,4.0,0.0,0.0088799,0.01126267,0.002382770000000001,Chelsea,Man City,6.0,Levi Colwill,DC,True,27.267443151960293,0.0,-48.56343995391963,L. Colwill,4.0,Chelsea
29,30,15.0,1.0,35.0,15,43.365,5.44,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.33'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,403850.0,33.495,15.844000000000001,,,,,,,,,,,1.5833333333333335,,,,4.0,0.0,3.0,1.0,0.01126267,0.0105949,-0.0006677699999999998,Chelsea,Man City,27.0,Malo Gusto,DR,True,-5.84355968792498,0.0,133.49122650287367,M. Gusto,4.0,Chelsea
30,31,15.5,1.0,36.5,15,33.495,15.844000000000001,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,373946.0,31.919999999999998,18.428,,,,,,16.0,,,,,1.6083333333333334,,,,3.0,1.0,3.0,2.0,0.0105949,0.01110462,0.00050972,Chelsea,Man City,29.0,Wesley Fofana,DC,True,0.0,-0.9466214487026576,121.36314824270552,W. Fofana,4.0,Chelsea
31,32,16.0,1.0,38.0,15,31.919999999999998,18.428,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.57'}]","[91, 117, 30, 36, 37, 216, 218]",True,373946.0,38.010000000000005,22.372,,,,,,,,,,,1.6333333333333333,,,,3.0,2.0,4.0,2.0,0.01110462,0.01269174,0.0015871199999999992,Chelsea,Man City,29.0,Wesley Fofana,DC,True,6.728942707141556,0.0,32.927862653164105,W. Fofana,4.0,Chelsea
32,33,17.0,1.0,39.0,15,38.010000000000005,22.372,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.35'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.0'}]","[91, 117, 30, 35, 38, 215, 218]",True,410175.0,29.19,20.468000000000004,,,,,,,,,,,1.65,,,,4.0,2.0,3.0,2.0,0.01269174,0.01110462,-0.0015871199999999992,Chelsea,Man City,25.0,Moises Caicedo,DMC,True,-9.016559381551701,0.0,-167.81831831334708,M. Caicedo,4.0,Chelsea
33,34,17.5,1.0,40.0,15,29.19,20.468000000000004,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,373946.0,16.695,21.148000000000003,,,,,,18.0,,,,,1.6666666666666665,,,,3.0,2.0,1.0,2.0,0.01110462,0.00977745,-0.0013271700000000008,Chelsea,Man City,29.0,Wesley Fofana,DC,True,0.0,-12.227092128512922,176.8849352400945,W. Fofana,4.0,Chelsea
34,35,18.0,1.0,41.0,15,16.695,21.148000000000003,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.32'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '7.6'}]","[91, 117, 30, 35, 37, 215, 218]",True,373946.0,7.9799999999999995,30.464,,,,,,,,,,,1.6833333333333333,,,,1.0,2.0,0.0,3.0,0.00977745,0.00941056,-0.0003668899999999999,Chelsea,Man City,29.0,Wesley Fofana,DC,True,-7.849069571454635,0.0,133.09095337032701,W. Fofana,4.0,Chelsea
35,36,19.0,1.0,43.0,15,7.9799999999999995,30.464,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.61'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '50.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,362151.0,47.04,0.0,,,,,,,,,,,1.7166666666666668,,,,,,,,,,,Chelsea,Man City,1.0,Robert Sanchez,GK,True,29.8879749276514,0.0,-37.95167717759301,R. Sanchez,4.0,Chelsea
36,37,20.0,1.0,51.0,167,49.875,68.0,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.88'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.8'}]","[91, 212, 35, 38, 216]",True,402664.0,38.745,59.024,,,,,,,,,,,1.85,,,,5.0,7.0,4.0,7.0,0.01248344,0.01126267,-0.0012207699999999995,Man City,Chelsea,24.0,Josko Gvardiol,DC,True,-6.056189282001526,0.0,-141.1148998490997,J. Gvardiol,5.0,Man City
37,38,20.5,1.0,52.5,167,38.745,59.024,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,313171.0,37.275,53.312000000000005,,,,,,21.0,,,,,1.875,,,,4.0,6.0,4.0,6.0,0.01214719,0.01214719,0.0,Man City,Chelsea,3.0,Ruben Dias,DC,True,0.0,0.39856634161399995,-104.43206293613592,R. Dias,5.0,Man City
